"data_resultado";"genero";"fx_etaria";"total";"total_acumulado"
2020-04-16;"Masculino";"0-4";3;67
2020-04-16;"Masculino";"10-14";1;9
2020-04-16;"Masculino";"15-19";1;32
2020-04-16;"Masculino";"20-24";3;85
2020-04-16;"Masculino";"25-29";9;118
2020-04-16;"Masculino";"30-34";7;143
2020-04-16;"Masculino";"35-39";9;153
2020-04-16;"Masculino";"40-44";11;126
2020-04-16;"Masculino";"45-49";13;83
2020-04-16;"Masculino";"50-54";6;70
2020-04-16;"Masculino";"55-59";3;71
2020-04-16;"Masculino";"60-64";5;52
2020-04-16;"Masculino";"65-69";2;28
2020-04-16;"Masculino";"70-74";1;23
2020-04-16;"Masculino";"75-79";2;28
2020-04-16;"Masculino";"80-84";1;18
2020-04-16;"Masculino";"85-89";1;11
2020-04-16;"Masculino";"90-94";2;8
2020-04-17;"Feminino";"0-4";1;42
2020-04-17;"Feminino";"10-14";1;21
2020-04-17;"Feminino";"15-19";1;35
2020-04-17;"Feminino";"20-24";1;147
2020-04-17;"Feminino";"25-29";7;198
2020-04-17;"Feminino";"30-34";5;278
2020-04-17;"Feminino";"35-39";8;259
2020-04-17;"Feminino";"40-44";4;166
2020-04-17;"Feminino";"45-49";4;113
2020-04-17;"Feminino";"50-54";5;121
2020-04-17;"Feminino";"55-59";1;82
2020-04-17;"Feminino";"60-64";1;58
2020-04-17;"Feminino";"65-69";1;29
2020-04-17;"Feminino";"70-74";1;25
2020-04-17;"Feminino";"75-79";1;22
2020-04-17;"Feminino";"80-84";1;25
2020-04-17;"Feminino";"85-89";1;14
2020-04-17;"Masculino";"0-4";3;70
2020-04-17;"Masculino";"20-24";1;86
2020-04-17;"Masculino";"25-29";6;124
2020-04-17;"Masculino";"30-34";4;147
2020-04-17;"Masculino";"35-39";7;160
2020-04-17;"Masculino";"40-44";5;131
2020-04-17;"Masculino";"45-49";4;87
2020-04-17;"Masculino";"50-54";3;73
2020-04-17;"Masculino";"55-59";5;76
