"data_resultado";"genero";"fx_etaria";"total";"total_acumulado"
2020-05-01;"Feminino";"90-94";2;6
2020-05-01;"Masculino";"20-24";1;16
2020-05-01;"Masculino";"25-29";4;38
2020-05-01;"Masculino";"30-34";2;48
2020-05-01;"Masculino";"35-39";5;74
2020-05-01;"Masculino";"40-44";1;49
2020-05-01;"Masculino";"45-49";2;52
2020-05-01;"Masculino";"50-54";3;38
2020-05-01;"Masculino";"55-59";2;30
2020-05-01;"Masculino";"60-64";2;33
2020-05-01;"Masculino";"65-69";2;26
2020-05-01;"Masculino";"70-74";3;14
2020-05-01;"Masculino";"75-79";1;7
2020-05-02;"Feminino";"0-4";1;5
2020-05-02;"Feminino";"15-19";1;4
2020-05-02;"Feminino";"20-24";1;21
2020-05-02;"Feminino";"25-29";3;41
2020-05-02;"Feminino";"30-34";2;64
2020-05-02;"Feminino";"35-39";8;77
2020-05-02;"Feminino";"40-44";2;55
2020-05-02;"Feminino";"45-49";4;38
2020-05-02;"Feminino";"50-54";2;42
2020-05-02;"Feminino";"55-59";4;41
2020-05-02;"Feminino";"60-64";2;26
2020-05-02;"Feminino";"65-69";1;16
2020-05-02;"Feminino";"70-74";1;12
2020-05-02;"Feminino";"75-79";1;11
2020-05-02;"Feminino";"80-84";1;9
2020-05-02;"Masculino";"0-4";1;13
2020-05-02;"Masculino";"20-24";2;18
2020-05-02;"Masculino";"25-29";2;40
2020-05-02;"Masculino";"30-34";3;51
2020-05-02;"Masculino";"35-39";8;82
2020-05-02;"Masculino";"40-44";10;59
2020-05-02;"Masculino";"45-49";2;54
2020-05-02;"Masculino";"50-54";3;41
2020-05-02;"Masculino";"55-59";5;35
2020-05-02;"Masculino";"60-64";1;34
2020-05-04;"Feminino";"20-24";2;23
2020-05-04;"Feminino";"30-34";4;68
2020-05-04;"Feminino";"35-39";3;80
2020-05-04;"Feminino";"45-49";2;40
2020-05-04;"Feminino";"55-59";3;44
2020-05-04;"Feminino";"60-64";2;28
2020-05-04;"Feminino";"70-74";1;13
2020-05-04;"Feminino";"75-79";2;13
2020-05-04;"Masculino";"0-4";1;14
2020-05-04;"Masculino";"10-14";1;2
2020-05-04;"Masculino";"25-29";4;44
2020-05-04;"Masculino";"35-39";4;86
2020-05-04;"Masculino";"40-44";1;60
2020-05-04;"Masculino";"45-49";2;56
2020-05-04;"Masculino";"55-59";2;37
2020-05-04;"Masculino";"60-64";1;35
2020-05-05;"Feminino";"30-34";2;70
